dataset,plot_id,start_date,end_date,latitude,longitude,diameter,height,species,plant_AGB_kg,capture_start,capture_end,sentinel_time,Blue,Green,Red,RE1,RE2,RE3,NIR,SWIR1,SWIR2,NDVI,MNDWI,NBR,EVI,NDRE1,NDRE2,NDRE3,CIrededge,CLOUD_COVERAGE,cloud_threshold_used
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,26.3,12.0,mangle,630.627595830778,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,28.6,14.0,mangle,784.223245595666,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,19.2,4.0,mangle,139.136547970616,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.2,8.0,mangle,14.7267331652759,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.2,5.0,mangle,9.32173427161122,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,16.5,10.0,mangle,187.649011139721,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.8,2.0,mangle,18.302607953307,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.8,8.0,mangle,18.7245417631847,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,18.2,10.0,germinans,148.012831514135,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.9,5.0,mangle,12.9450357887192,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.8,5.0,mangle,12.3822853593996,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.7,5.0,germinans,9.12489108260442,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.0,3.0,mangle,8.41802161311407,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_6,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,10.0,2.0,mangle,25.5186696324792,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
