longitude,latitude
-88.60436965931343,13.227360376425882
-88.77701022951307,13.249280282257898
-88.78627945640167,13.253780866694571
-88.45847120700725,13.216425037256805
-88.45282895239485,13.222649375363313
-88.39708878488749,13.192148089259586
-88.5611707304826,13.25777524858816
-88.56947923249115,13.240579840183145
-88.81947537256227,13.25838852729372
-88.829697438107,13.26988873318014
-88.85941098322873,13.290139029224513
-88.87336361287223,13.2969725586972
-88.8811135458455,13.306055966759253
-88.94430740618901,13.334139958571113
-88.82980837402025,13.286222168279906
-88.95555744426943,13.32530666005413
-88.85333616230449,13.270388924217926
-88.89086322384209,13.342278442231413
-88.82673,13.25972
-88.92136,13.3442
-88.85316944551337,13.280111192559334
-88.8590027250846,13.28238898769338
-88.76582299434297,13.271776794497368
-46.679316666666665,-0.9180333333333334
-46.67918333333333,-0.9181
-46.67901666666667,-0.9182833333333332
-46.67895,-0.9183333333333332
-46.67885,-0.91855
-46.67876666666667,-0.9187
-46.6523,-0.8812166666666666
-46.65238333333333,-0.8813666666666666
-46.65245,-0.8815833333333334
-46.652483333333336,-0.8817333333333334
-46.6525,-0.8819333333333332
-46.652566666666665,-0.8821
-47.39423333333333,-0.6549333333333334
-47.39423333333333,-0.65515
-47.3943,-0.6553166666666667
-47.3942,-0.65555
-47.39416666666666,-0.6556833333333334
-47.394133333333336,-0.6558666666666666
-46.63706666666667,-0.8511666666666666
-46.6372,-0.8510500000000001
-46.63735,-0.85095
-46.6375,-0.85085
-46.6376,-0.8507333333333332
-46.637816666666666,-0.8506
-47.35113333333334,-0.6555833333333333
-47.35098333333333,-0.6554666666666668
-47.350966666666665,-0.6552833333333333
-47.35086666666667,-0.65515
-47.35075,-0.6550333333333334
-47.35066666666667,-0.6548666666666667
-47.3674,-0.6325333333333333
-47.3674,-0.6327333333333333
-47.36748333333333,-0.6328666666666667
-47.36753333333333,-0.6330666666666667
-47.367583333333336,-0.6331833333333333
-47.36765,-0.63345
-46.6386,-0.8413333333333333
-46.63861666666666,-0.84135
-46.63863333333333,-0.8413666666666667
-46.63865,-0.8413833333333333
-46.638666666666666,-0.8414
-46.63868333333333,-0.8414166666666667
-46.6387,-0.8414333333333333
-46.63871666666667,-0.84145
-46.63873333333333,-0.8414666666666667
-46.63875,-0.8414833333333332
-46.64008333333334,-0.8419500000000001
-46.6401,-0.8419666666666666
-46.64011666666666,-0.8419833333333333
-46.64013333333333,-0.8420000000000001
-46.64015,-0.8420166666666666
-46.640166666666666,-0.8420333333333333
-46.64018333333333,-0.8420500000000001
-46.6402,-0.8420666666666666
-46.64021666666667,-0.8420833333333333
-46.640233333333335,-0.8421000000000001
-46.64025,-0.8421166666666667
-46.64026666666667,-0.8421333333333333
-46.640283333333336,-0.8421500000000001
-46.6403,-0.8421666666666667
-46.64031666666666,-0.8421833333333333
-46.64033333333333,-0.8422
-46.64035,-0.8422166666666667
-46.640366666666665,-0.8422333333333333
-46.64038333333333,-0.8422499999999999
-46.6404,-0.8422666666666667
-46.64041666666667,-0.8422833333333333
-46.64043333333333,-0.8422999999999999
-46.64045,-0.8423166666666667
-46.64046666666667,-0.8423333333333333
-46.640483333333336,-0.8423499999999999
-46.6405,-0.8423666666666667
-46.64051666666667,-0.8423833333333334
-46.64053333333333,-0.8423999999999999
-46.64055,-0.8424166666666667
-46.640566666666665,-0.8424333333333334
-46.64058333333333,-0.8424499999999999
-46.6406,-0.8424666666666667
-46.640616666666666,-0.8424833333333334
-46.64063333333333,-0.8424999999999999
-46.64065,-0.8425166666666667
-46.64066666666667,-0.8425333333333334
-46.640683333333335,-0.8425499999999999
-46.6407,-0.8425666666666667
-46.64071666666667,-0.8425833333333334
-46.64073333333333,-0.8425999999999999
-46.64075,-0.8426166666666667
-46.64076666666666,-0.8426333333333333
-48.01373333333333,-0.74915
-48.01361666666666,-0.7493333333333333
-48.01355,-0.7494833333333334
-48.013333333333335,-0.7495666666666666
-48.013216666666665,-0.7497333333333334
-48.0131,-0.7498166666666666
-48.01373333333333,-0.74915
-48.01361666666666,-0.7493333333333333
-48.01355,-0.7494833333333334
-48.013333333333335,-0.7495666666666666
-48.013216666666665,-0.7497333333333334
-48.0131,-0.7498166666666666
