dataset,plot_id,start_date,end_date,latitude,longitude,diameter,height,species,plant_AGB_kg,date,nisar_value_hvhv,nisar_value_hhhh
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.0,5.0,mangle,8.41802161311407,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,22.2,10.0,germinans,238.437837498065,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,7.0,5.0,mangle,20.1903073087462,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.7,5.0,mangle,11.8348470587484,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,12.9,10.0,mangle,98.9512470758649,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.7,3.0,mangle,35.5335077725161,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.5,5.0,racemosa,7.2574216749778,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.3,2.0,mangle,15.7203086877113,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,7.0,3.0,germinans,14.9404380719519,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,19.7,12.0,germinans,178.997505396748,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.1,2.5,mangle,8.86279049043498,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.8,5.0,germinans,13.9363622397271,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.9,5.0,germinans,14.433307138799,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,22.4,10.0,germinans,243.625800812729,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,15.0,9.0,germinans,93.0565735804775,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.7,8.0,germinans,25.175276085866,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,33.8,10.0,germinans,653.925263936421,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
