date,longitude,latitude,nisar_value_hvhv,nisar_value_hhhh
2025-12-13T11:30:58.000000Z,-88.60436965931343,13.227360376425882,0.02231431007385254,0.1096658706665039
2025-12-13T11:30:58.000000Z,-88.77701022951307,13.249280282257898,0.028809785842895508,0.04571390151977539
2025-12-13T11:30:58.000000Z,-88.78627945640167,13.253780866694571,0.020070314407348633,0.07196426391601562
2025-12-13T11:30:58.000000Z,-88.45847120700725,13.216425037256805,0.02084517478942871,0.02721095085144043
2025-12-13T11:30:58.000000Z,-88.45282895239485,13.222649375363313,0.0004945993423461914,0.0019064545631408691
2025-12-13T11:30:58.000000Z,-88.39708878488749,13.192148089259586,4.886463284492493e-05,0.000341709703207016
2025-12-13T11:30:58.000000Z,-88.5611707304826,13.25777524858816,0.004023551940917969,0.015236735343933105
2025-12-13T11:30:58.000000Z,-88.56947923249115,13.240579840183145,0.013817548751831055,0.09944629669189453
2025-12-13T11:30:58.000000Z,-88.81947537256227,13.25838852729372,0.0030789971351623535,0.009183883666992188
2025-12-13T11:30:58.000000Z,-88.829697438107,13.26988873318014,0.007907271385192871,0.08135795593261719
2025-12-13T11:30:58.000000Z,-88.85941098322873,13.290139029224513,0.0034809112548828125,0.0044994354248046875
2025-12-13T11:30:58.000000Z,-88.87336361287223,13.2969725586972,0.069122314453125,0.041342735290527344
2025-12-13T11:30:58.000000Z,-88.8811135458455,13.306055966759253,0.029467105865478516,0.18716049194335938
2025-12-13T11:30:58.000000Z,-88.94430740618901,13.334139958571113,0.0013923794031143188,0.004694104194641113
2025-12-13T11:30:58.000000Z,-88.82980837402025,13.286222168279906,0.04918241500854492,0.08520889282226562
2025-12-13T11:30:58.000000Z,-88.95555744426943,13.32530666005413,0.013584136962890625,0.0690155029296875
2025-12-13T11:30:58.000000Z,-88.85333616230449,13.270388924217926,0.017011642456054688,0.05882978439331055
2025-12-13T11:30:58.000000Z,-88.89086322384209,13.342278442231413,0.05894804000854492,0.0955057144165039
2025-12-13T11:30:58.000000Z,-88.82673,13.25972,0.0015169531106948853,0.0039376020431518555
